Area Name,County,Labor Force,Employment,Unemployment Number,Unemployment Rate
Placentia ,Orange                                                ,"26,000","25,100",800,3.3%
Rancho Santa Margarita ,Orange                                                ,"27,800","27,100",700,2.7%
Rossmoor ,Orange                                                ,"5,100","5,000",100,2.4%
San Clemente ,Orange                                                ,"31,900","31,000",900,2.9%
San Juan Capistrano ,Orange                                                ,"17,200","16,700",500,2.9%
Santa Ana ,Orange                                                ,"157,600","152,800","4,800",3.1%
Seal Beach ,Orange                                                ,"10,000","9,700",400,3.6%
Stanton ,Orange                                                ,"18,500","17,900",600,3.1%
Tustin ,Orange                                                ,"42,800","41,600","1,200",2.8%
Villa Park ,Orange                                                ,"2,500","2,400",100,4.6%
Westminster ,Orange                                                ,"41,900","40,500","1,400",3.3%
Yorba Linda ,Orange                                                ,"35,000","34,000","1,000",2.7%
Arvin ,Kern                                                  ,"9,300","8,600",700,7.2%
Bakersfield ,Kern                                                  ,"181,300","170,700","10,500",5.8%
Bear Valley Springs ,Kern                                                  ,"2,000","1,900",100,3.6%
Bodfish ,Kern                                                  ,400,400,100,14.6%
Boron ,Kern                                                  ,800,800,0,3.9%
Buttonwillow ,Kern                                                  ,600,500,100,10.7%
California  ,Kern                                                  ,"4,900","4,100",800,16.3%
China Lake Acres ,Kern                                                  ,700,600,100,13.4%
Delano ,Kern                                                  ,"21,300","17,400","3,900",18.3%
Derby Acres ,Kern                                                  ,100,100,0,3.7%
Dustin Acres ,Kern                                                  ,300,300,0,7.0%
Edwards AFB ,Kern                                                  ,400,400,0,6.9%
Fellows ,Kern                                                  ,0,0,0,3.8%
Ford  ,Kern                                                  ,"2,100","1,900",200,8.0%
Frazier Park ,Kern                                                  ,900,900,100,8.2%
Golden Hills ,Kern                                                  ,"4,300","4,200",200,3.7%
Inyokern ,Kern                                                  ,300,300,0,0.0%
Johannesburg ,Kern                                                  ,0,0,0,0.0%
Keene ,Kern                                                  ,100,100,0,19.7%
Kernville ,Kern                                                  ,600,600,0,0.0%
Lake Isabella ,Kern                                                  ,"1,600","1,500",100,9.0%
Lake of the Woods ,Kern                                                  ,500,500,0,3.3%
Lamont ,Kern                                                  ,"7,300","6,900",400,5.8%
Lebec ,Kern                                                  ,900,700,100,13.5%
Lost Hills ,Kern                                                  ,900,900,0,3.5%
Maricopa ,Kern                                                  ,300,300,0,11.3%
McFarland ,Kern                                                  ,"5,600","5,000",500,9.8%
McKittrick ,Kern                                                  ,100,0,0,14.3%
Mettler ,Kern                                                  ,100,100,0,10.8%
Mojave ,Kern                                                  ,"1,800","1,600",300,14.2%
Mountain Mesa ,Kern                                                  ,100,100,0,10.9%
North Edwards ,Kern                                                  ,400,400,0,9.7%
Oildale ,Kern                                                  ,"15,400","13,700","1,700",10.9%
Onyx ,Kern                                                  ,200,200,0,0.0%
Pine Mountain Club ,Kern                                                  ,700,700,0,5.0%
Randsburg ,Kern                                                  ,0,0,0,0.0%
Ridgecrest ,Kern                                                  ,"14,100","13,600",500,3.4%
Rosamond ,Kern                                                  ,"8,900","8,100",800,9.0%
Rosedale ,Kern                                                  ,"8,600","8,200",400,4.9%
Shafter ,Kern                                                  ,"7,500","6,900",700,8.7%
South Taft ,Kern                                                  ,600,500,100,13.1%
Squirrel Mountain Valley ,Kern                                                  ,300,300,0,6.3%
Stallion Springs ,Kern                                                  ,"1,300","1,100",100,11.5%
Taft ,Kern                                                  ,"3,000","2,900",100,3.4%
Taft Heights ,Kern                                                  ,"1,200","1,100",100,8.8%
Tehachapi ,Kern                                                  ,"3,900","3,700",200,4.5%
Tupman ,Kern                                                  ,100,0,0,17.3%
Valley Acres ,Kern                                                  ,200,200,0,6.2%
Wasco ,Kern                                                  ,"8,700","7,700","1,000",11.5%
Weedpatch ,Kern                                                  ,900,800,100,8.5%
Weldon ,Kern                                                  ,900,900,100,7.1%
Wofford Heights ,Kern                                                  ,600,600,0,2.4%
Angels ,Calaveras                                             ,"1,860","1,850",0,0.2%
Arnold ,Calaveras                                             ,"1,300","1,240",60,4.6%
Avery ,Calaveras                                             ,320,300,20,6.8%
Copperopolis ,Calaveras                                             ,"2,370","2,300",70,3.0%
Dorrington ,Calaveras                                             ,80,80,0,0.0%
Forest Meadows ,Calaveras                                             ,830,790,40,5.2%
Mokelumne Hill ,Calaveras                                             ,220,180,50,21.4%
Mountain Ranch ,Calaveras                                             ,420,390,30,6.9%
Murphys ,Calaveras                                             ,910,890,30,2.7%
Rancho Calaveras ,Calaveras                                             ,"3,180","3,070",120,3.7%
San Andreas ,Calaveras                                             ,"1,560","1,530",30,1.8%
Valley Springs ,Calaveras                                             ,"2,060","2,040",20,1.2%
West Point ,Calaveras                                             ,180,180,0,0.0%
Biggs ,Butte                                                 ,800,800,100,6.0%
Chico ,Butte                                                 ,"48,400","46,300","2,100",4.4%
Concow ,Butte                                                 ,200,200,0,9.5%
Durham ,Butte                                                 ,"2,900","2,900",100,2.7%
Gridley ,Butte                                                 ,"2,800","2,600",200,5.6%
Magalia ,Butte                                                 ,"4,600","4,400",200,4.5%
Oroville ,Butte                                                 ,"6,700","6,400",300,4.7%
Oroville East ,Butte                                                 ,"2,900","2,800",100,5.1%
Palermo ,Butte                                                 ,"2,000","1,800",200,10.3%
Paradise town,Butte                                                 ,"10,900","10,600",300,3.2%
South Oroville ,Butte                                                 ,"1,100","1,000",100,7.7%
Thermalito ,Butte                                                 ,"2,400","2,200",200,7.5%
Arbuckle ,Colusa                                                ,"1,950","1,740",210,10.5%
Colusa ,Colusa                                                ,"3,100","2,860",240,7.9%
Williams ,Colusa                                                ,"2,920","2,730",200,6.7%
Alamo ,Contra Costa                                          ,"7,100","7,000",200,2.1%
Antioch ,Contra Costa                                          ,"51,500","49,400","2,100",4.1%
Bay Point ,Contra Costa                                          ,"11,200","10,500",700,6.6%
Bethel Island ,Contra Costa                                          ,900,900,0,1.3%
Brentwood ,Contra Costa                                          ,"29,200","28,200","1,000",3.3%
Byron ,Contra Costa                                          ,800,700,0,3.9%
Clayton ,Contra Costa                                          ,"6,100","6,000",100,1.8%
Clyde ,Contra Costa                                          ,600,600,0,1.4%
Concord ,Contra Costa                                          ,"66,900","64,900","2,100",3.1%
Crockett ,Contra Costa                                          ,"1,700","1,700",100,3.7%
Danville town,Contra Costa                                          ,"21,100","20,500",600,2.9%
Diablo ,Contra Costa                                          ,100,100,0,0.0%
Discovery Bay ,Contra Costa                                          ,"7,900","7,600",200,3.1%
East Richmond Heights ,Contra Costa                                          ,"2,100","2,000",0,1.6%
El Cerrito ,Contra Costa                                          ,"14,000","13,700",400,2.6%
El Sobrante ,Contra Costa                                          ,"7,600","7,300",300,3.6%
Hercules ,Contra Costa                                          ,"14,100","13,700",400,2.9%
Kensington ,Contra Costa                                          ,"3,000","2,900",100,1.7%
Knightsen ,Contra Costa                                          ,700,700,0,3.8%
Lafayette ,Contra Costa                                          ,"12,800","12,500",300,2.7%
Martinez ,Contra Costa                                          ,"20,900","20,300",600,3.0%
Mountain View ,Contra Costa                                          ,"1,400","1,300",100,5.5%
Oakley ,Contra Costa                                          ,"19,900","19,200",700,3.4%
Orinda ,Contra Costa                                          ,"9,200","9,000",200,1.9%
Pacheco ,Contra Costa                                          ,"2,500","2,400",100,4.7%
Pinole ,Contra Costa                                          ,"10,300","10,000",300,2.7%
Pittsburg ,Contra Costa                                          ,"34,700","33,400","1,300",3.9%
Pleasant Hill ,Contra Costa                                          ,"18,400","17,900",500,2.8%
Port Costa ,Contra Costa                                          ,200,200,0,0.0%
Richmond ,Contra Costa                                          ,"53,600","51,600","2,000",3.7%
Rodeo ,Contra Costa                                          ,"5,000","4,800",200,4.0%
Rollingwood ,Contra Costa                                          ,"1,500","1,400",100,4.4%
San Pablo ,Contra Costa                                          ,"14,100","13,600",500,3.6%
San Ramon ,Contra Costa                                          ,"40,300","39,200","1,100",2.7%
Tara Hills ,Contra Costa                                          ,"2,500","2,400",100,4.6%
Vine Hill ,Contra Costa                                          ,"1,800","1,700",100,4.0%
Walnut Creek ,Contra Costa                                          ,"34,800","33,900",900,2.7%
Bertsch Oceanview ,Del Norte                                             ,820,730,90,11.0%
Crescent  ,Del Norte                                             ,"1,530","1,450",80,5.2%
Klamath ,Del Norte                                             ,280,260,30,9.5%
Brawley ,Imperial                                              ,"10,000","8,300","1,700",16.8%
Calexico ,Imperial                                              ,"19,500","12,200","7,400",37.7%
Calipatria ,Imperial                                              ,"1,200",900,300,26.2%
El Centro ,Imperial                                              ,"18,200","15,200","3,000",16.3%
Heber ,Imperial                                              ,"1,800","1,300",500,26.9%
Holtville ,Imperial                                              ,"2,500","1,900",600,23.2%
Imperial ,Imperial                                              ,"7,800","6,500","1,300",16.6%
Westmorland ,Imperial                                              ,900,700,200,18.2%
Cameron Park ,El Dorado                                             ,"9,600","9,300",300,3.3%
Diamond Springs ,El Dorado                                             ,"5,000","4,700",300,5.1%
El Dorado Hills ,El Dorado                                             ,"22,900","22,200",700,2.9%
Georgetown ,El Dorado                                             ,"1,000","1,000",0,4.8%
Placerville ,El Dorado                                             ,"4,800","4,600",200,3.8%
Pollock Pines ,El Dorado                                             ,"3,200","3,100",100,3.0%
Shingle Springs ,El Dorado                                             ,"2,100","2,100",100,3.2%
South Lake Tahoe ,El Dorado                                             ,"12,500","12,000",500,4.3%
Auberry ,Fresno                                                ,"1,100","1,000",0,3.2%
Biola ,Fresno                                                ,600,500,100,14.7%
Calwa ,Fresno                                                ,800,800,100,9.6%
Cantua Creek ,Fresno                                                ,100,100,0,4.8%
Caruthers ,Fresno                                                ,"1,400","1,300",100,7.8%
Clovis ,Fresno                                                ,"55,200","52,700","2,500",4.6%
Coalinga ,Fresno                                                ,"6,400","6,000",500,7.1%
Del Rey ,Fresno                                                ,600,500,0,7.5%
Easton ,Fresno                                                ,"1,100","1,000",100,7.5%
Firebaugh ,Fresno                                                ,"3,900","3,500",400,11.1%
Fowler ,Fresno                                                ,"3,000","2,800",200,6.1%
Fresno ,Fresno                                                ,"239,500","224,800","14,700",6.1%
Friant ,Fresno                                                ,200,200,0,10.9%
Huron ,Fresno                                                ,"2,800","2,600",200,7.3%
Kerman ,Fresno                                                ,"6,900","6,500",400,5.5%
Kingsburg ,Fresno                                                ,"5,700","5,400",300,6.0%
Lanare ,Fresno                                                ,100,100,0,7.1%
Laton ,Fresno                                                ,800,700,100,8.3%
Mendota ,Fresno                                                ,"5,000","4,300",800,15.4%
Orange Cove ,Fresno                                                ,"3,700","3,400",300,8.8%
Parlier ,Fresno                                                ,"6,700","6,300",400,6.7%
Raisin  ,Fresno                                                ,100,100,0,5.2%
Reedley ,Fresno                                                ,"12,400","11,100","1,400",10.9%
Riverdale ,Fresno                                                ,"1,500","1,400",100,8.0%
San Joaquin ,Fresno                                                ,"1,500","1,400",100,6.3%
Sanger ,Fresno                                                ,"11,800","10,900","1,000",8.1%
Selma ,Fresno                                                ,"10,800","10,200",600,5.6%
Shaver Lake ,Fresno                                                ,300,300,0,0.7%
Squaw Valley ,Fresno                                                ,"1,400","1,400",100,5.9%
Tranquillity ,Fresno                                                ,300,300,0,0.0%
Hamilton  ,Glenn                                                 ,950,930,20,2.4%
Orland ,Glenn                                                 ,"3,640","3,390",250,6.9%
Willows ,Glenn                                                 ,"2,630","2,460",170,6.4%
Armona ,Kings                                                 ,"1,500","1,300",100,9.9%
Avenal ,Kings                                                 ,"3,800","3,500",300,9.1%
Corcoran ,Kings                                                 ,"4,600","3,900",600,14.1%
Hanford ,Kings                                                 ,"25,400","23,800","1,600",6.2%
Home Garden ,Kings                                                 ,800,700,100,10.3%
Kettleman  ,Kings                                                 ,800,700,100,6.8%
Lemoore ,Kings                                                 ,"12,300","11,700",600,5.0%
Lemoore Station ,Kings                                                 ,"1,400","1,300",100,7.2%
Stratford ,Kings                                                 ,400,300,100,21.5%
Arcata ,Humboldt                                              ,"9,100","8,500",600,6.1%
Blue Lake ,Humboldt                                              ,600,600,0,2.1%
Eureka ,Humboldt                                              ,"12,800","12,300",500,3.9%
Ferndale ,Humboldt                                              ,700,700,0,1.4%
Fortuna ,Humboldt                                              ,"5,000","4,800",200,4.4%
Hydesville ,Humboldt                                              ,500,500,0,0.8%
McKinleyville ,Humboldt                                              ,"8,000","7,700",300,3.5%
Redway ,Humboldt                                              ,800,700,0,4.6%
Rio Dell ,Humboldt                                              ,"1,300","1,300",0,2.6%
Trinidad ,Humboldt                                              ,100,100,0,0.0%
Willow Creek ,Humboldt                                              ,400,400,0,2.4%
Big Pine ,Inyo                                                  ,710,660,50,6.5%
Bishop ,Inyo                                                  ,"1,820","1,790",30,1.8%
Cartago ,Inyo                                                  ,10,10,0,0.0%
Darwin ,Inyo                                                  ,0,0,0,0.0%
Dixon Lane Meadow Creek ,Inyo                                                  ,"1,250","1,210",40,3.0%
Furnace Creek ,Inyo                                                  ,130,130,0,0.8%
Independence ,Inyo                                                  ,260,250,10,2.7%
Keeler ,Inyo                                                  ,0,0,0,0.0%
Lone Pine ,Inyo                                                  ,840,810,30,3.6%
Mesa ,Inyo                                                  ,160,160,10,3.7%
Olancha ,Inyo                                                  ,130,120,10,7.8%
Round Valley ,Inyo                                                  ,220,220,0,0.9%
Shoshone ,Inyo                                                  ,10,10,0,0.0%
Tecopa ,Inyo                                                  ,50,30,20,31.3%
West Bishop ,Inyo                                                  ,"1,400","1,370",30,2.1%
Wilkerson ,Inyo                                                  ,260,260,10,2.3%
Clearlake ,Lake                                                  ,"6,360","5,940",420,6.5%
Clearlake Oaks ,Lake                                                  ,820,770,60,6.7%
Cobb ,Lake                                                  ,560,550,10,2.3%
Hidden Valley Lake ,Lake                                                  ,"3,060","3,010",50,1.7%
Kelseyville ,Lake                                                  ,"1,380","1,300",80,6.1%
Lakeport ,Lake                                                  ,"2,550","2,490",70,2.6%
Lower Lake ,Lake                                                  ,680,660,20,3.1%
Lucerne ,Lake                                                  ,"1,390","1,330",70,4.7%
Middletown ,Lake                                                  ,440,420,20,4.1%
Nice ,Lake                                                  ,"1,040",990,40,4.1%
North Lakeport ,Lake                                                  ,"1,630","1,590",50,2.9%
Upper Lake ,Lake                                                  ,510,500,10,2.3%
Susanville ,Lassen                                                ,"3,100","2,970",130,4.2%
Westwood ,Lassen                                                ,800,780,20,2.9%
Acton ,Los Angeles ,"3,700","3,400",200,6.6%
Agoura Hills ,Los Angeles ,"11,600","11,100",500,4.2%
Alhambra ,Los Angeles ,"46,500","44,700","1,800",3.9%
Alondra Park ,Los Angeles ,"3,700","3,500",200,5.8%
Altadena ,Los Angeles ,"23,900","23,100",900,3.6%
Arcadia ,Los Angeles ,"29,800","28,700","1,100",3.6%
Artesia ,Los Angeles ,"8,000","7,800",200,2.8%
Avalon ,Los Angeles ,"2,000","2,000",0,1.3%
Avocado Heights ,Los Angeles ,"7,800","7,300",500,5.8%
Azusa ,Los Angeles ,"25,000","23,900","1,100",4.5%
Baldwin Park ,Los Angeles ,"34,700","33,000","1,700",4.9%
Bell ,Los Angeles ,"15,100","14,400",800,5.2%
Bell Gardens ,Los Angeles ,"18,100","17,300",800,4.5%
Bellflower ,Los Angeles ,"36,600","34,600","2,000",5.3%
Beverly Hills ,Los Angeles ,"18,400","17,600",700,4.1%
Bradbury ,Los Angeles ,500,500,0,3.0%
Burbank ,Los Angeles ,"59,400","56,300","3,100",5.2%
Calabasas ,Los Angeles ,"12,300","11,900",400,3.1%
Carson ,Los Angeles ,"46,300","43,900","2,400",5.2%
Cerritos ,Los Angeles ,"25,500","24,500","1,000",3.9%
Charter Oak ,Los Angeles ,"4,800","4,500",300,5.5%
Citrus ,Los Angeles ,"5,500","5,200",200,4.3%
Claremont ,Los Angeles ,"17,000","16,200",800,4.5%
Commerce ,Los Angeles ,"6,000","5,600",400,6.7%
Compton ,Los Angeles ,"39,500","36,900","2,600",6.6%
Covina ,Los Angeles ,"24,100","22,900","1,100",4.7%
Cudahy ,Los Angeles ,"10,100","9,700",500,4.6%
Culver  ,Los Angeles ,"22,900","21,900","1,000",4.3%
Del Aire ,Los Angeles ,"5,700","5,500",300,4.4%
Desert View Highlands ,Los Angeles ,"1,000",900,100,6.7%
Diamond Bar ,Los Angeles ,"30,400","29,200","1,200",3.9%
Downey ,Los Angeles ,"57,500","54,900","2,600",4.5%
Duarte ,Los Angeles ,"11,200","10,600",600,5.3%
East Los Angeles ,Los Angeles ,"57,600","53,100","4,500",7.8%
East Pasadena ,Los Angeles ,"3,200","3,100",100,2.4%
East San Gabriel ,Los Angeles ,"7,700","7,600",100,1.5%
El Monte ,Los Angeles ,"51,600","49,300","2,300",4.4%
El Segundo ,Los Angeles ,"9,700","9,300",400,3.8%
Florence Graham ,Los Angeles ,"27,400","25,700","1,700",6.3%
Gardena ,Los Angeles ,"30,400","28,900","1,500",4.9%
Glendale ,Los Angeles ,"103,700","99,300","4,500",4.3%
Glendora ,Los Angeles ,"26,200","25,100","1,100",4.2%
Hacienda Heights ,Los Angeles ,"26,200","25,200",900,3.5%
Hawaiian Gardens ,Los Angeles ,"6,000","5,700",400,6.3%
Hawthorne ,Los Angeles ,"44,900","42,800","2,100",4.6%
Hermosa Beach ,Los Angeles ,"12,600","12,400",300,2.2%
Hidden Hills ,Los Angeles ,600,600,0,3.9%
Huntington Park ,Los Angeles ,"26,700","25,400","1,300",4.8%
Industry ,Los Angeles ,200,100,0,7.6%
Inglewood ,Los Angeles ,"53,000","50,000","3,000",5.7%
Irwindale ,Los Angeles ,600,600,0,7.2%
La Canada Flintridge ,Los Angeles ,"9,700","9,500",200,2.0%
La Crescenta Montrose ,Los Angeles ,"10,300","10,000",300,2.9%
La Habra Heights ,Los Angeles ,"2,500","2,400",100,2.2%
La Mirada ,Los Angeles ,"24,300","23,300","1,100",4.5%
La Puente ,Los Angeles ,"19,100","18,200",900,4.5%
La Verne ,Los Angeles ,"16,100","15,400",700,4.5%
Ladera Heights ,Los Angeles ,"3,600","3,400",200,5.6%
Lake Los Angeles ,Los Angeles ,"4,000","3,600",300,8.7%
Lakewood ,Los Angeles ,"43,100","41,200","1,900",4.4%
Lancaster ,Los Angeles ,"65,100","60,800","4,300",6.7%
Lawndale ,Los Angeles ,"16,700","15,900",700,4.3%
Lennox ,Los Angeles ,"10,600","10,000",600,5.9%
Littlerock ,Los Angeles ,500,500,0,6.8%
Lomita ,Los Angeles ,"11,500","11,000",500,4.0%
Long Beach ,Los Angeles ,"239,200","227,100","12,100",5.1%
Los Angeles ,Los Angeles ,"2,066,100","1,968,400","97,700",4.7%
Lynwood ,Los Angeles ,"28,600","27,000","1,600",5.7%
Malibu ,Los Angeles ,"6,600","6,400",200,2.9%
Manhattan Beach ,Los Angeles ,"19,900","19,200",700,3.5%
Marina del Rey ,Los Angeles ,"7,100","6,900",200,3.1%
Mayflower Village ,Los Angeles ,"3,100","3,000",100,3.4%
Maywood ,Los Angeles ,"12,400","11,900",500,4.2%
Monrovia ,Los Angeles ,"21,000","20,200",800,3.9%
Montebello ,Los Angeles ,"29,100","27,600","1,500",5.2%
Monterey Park ,Los Angeles ,"29,500","28,300","1,200",4.1%
North El Monte ,Los Angeles ,"1,800","1,800",0,2.1%
Norwalk ,Los Angeles ,"50,700","48,200","2,500",4.9%
Palmdale ,Los Angeles ,"64,300","60,300","4,000",6.2%
Palos Verdes Estates ,Los Angeles ,"5,700","5,600",100,2.0%
Paramount ,Los Angeles ,"24,800","23,500","1,300",5.3%
Pasadena ,Los Angeles ,"79,200","76,000","3,200",4.0%
Pico Rivera ,Los Angeles ,"30,500","28,900","1,500",5.0%
Pomona ,Los Angeles ,"67,900","64,500","3,500",5.1%
Quartz Hill ,Los Angeles ,"4,200","4,000",200,4.8%
Rancho Palos Verdes ,Los Angeles ,"19,800","19,000",800,4.0%
Redondo Beach ,Los Angeles ,"41,400","39,800","1,600",3.8%
Rolling Hills ,Los Angeles ,600,600,0,4.1%
Rolling Hills Estates ,Los Angeles ,"3,500","3,400",100,2.5%
Rosemead ,Los Angeles ,"25,200","24,100","1,100",4.5%
Rowland Heights ,Los Angeles ,"24,700","24,000",800,3.1%
San Dimas ,Los Angeles ,"18,000","17,200",800,4.3%
San Fernando ,Los Angeles ,"11,800","11,200",600,4.9%
San Gabriel ,Los Angeles ,"21,500","20,600",800,3.9%
San Marino ,Los Angeles ,"5,600","5,500",100,2.2%
Santa Clarita ,Los Angeles ,"112,600","107,900","4,800",4.2%
Santa Fe Springs ,Los Angeles ,"8,300","8,100",300,3.0%
Santa Monica ,Los Angeles ,"56,600","54,100","2,600",4.5%
Sierra Madre ,Los Angeles ,"5,800","5,600",200,3.8%
Signal Hill ,Los Angeles ,"6,300","6,100",200,3.9%
South El Monte ,Los Angeles ,"9,300","8,900",400,4.2%
South Gate ,Los Angeles ,"42,800","40,700","2,100",4.9%
South Pasadena ,Los Angeles ,"15,000","14,400",600,4.2%
South San Gabriel ,Los Angeles ,"4,100","4,000",100,3.5%
South San Jose Hills ,Los Angeles ,"9,200","8,600",600,6.1%
South Whittier ,Los Angeles ,"27,200","26,200","1,000",3.8%
Temple  ,Los Angeles ,"18,300","17,600",700,3.9%
Torrance ,Los Angeles ,"78,600","75,600","3,000",3.8%
Val Verde ,Los Angeles ,"1,600","1,500",100,8.2%
Valinda ,Los Angeles ,"12,600","11,900",700,5.9%
Vernon ,Los Angeles ,0,0,0,7.1%
View Park Windsor Hills ,Los Angeles ,"5,500","5,100",500,8.4%
Walnut ,Los Angeles ,"16,000","15,400",600,3.5%
Walnut Park ,Los Angeles ,"7,600","7,300",400,5.1%
West Athens ,Los Angeles ,"4,600","4,200",300,7.5%
West Carson ,Los Angeles ,"11,300","10,800",500,4.2%
West Covina ,Los Angeles ,"53,100","50,600","2,400",4.6%
West Hollywood ,Los Angeles ,"27,200","25,800","1,400",5.0%
West Puente Valley ,Los Angeles ,"11,300","10,600",700,6.2%
West Whittier Los Nietos ,Los Angeles ,"12,800","12,300",400,3.2%
Westlake Village ,Los Angeles ,"4,000","3,900",100,2.5%
Westmont ,Los Angeles ,"13,300","12,100","1,100",8.5%
Whittier ,Los Angeles ,"44,100","41,900","2,100",4.9%
Willowbrook ,Los Angeles ,"9,600","8,900",700,7.1%
Bonadelle Ranchos Madera Ranchos ,Madera                                                ,"4,300","4,100",200,4.6%
Chowchilla ,Madera                                                ,"4,400","4,200",200,5.0%
Madera Acres ,Madera                                                ,"5,000","4,800",200,4.3%
Madera ,Madera                                                ,"27,600","25,700","1,900",7.0%
Oakhurst ,Madera                                                ,"1,800","1,700",100,6.4%
Parksdale ,Madera                                                ,"1,200","1,100",100,7.0%
Parkwood ,Madera                                                ,"1,000",900,100,8.4%
Yosemite Lakes ,Madera                                                ,"1,900","1,800",100,6.9%
Bootjack ,Mariposa                                              ,330,320,10,4.2%
Mariposa ,Mariposa                                              ,680,670,10,1.3%
Yosemite Valley ,Mariposa                                              ,"1,010","1,000",10,1.0%
Covelo ,Mendocino                                             ,440,410,20,5.1%
Fort Bragg ,Mendocino                                             ,"3,450","3,350",90,2.7%
Laytonville ,Mendocino                                             ,440,390,50,10.9%
Mendocino ,Mendocino                                             ,390,390,0,0.0%
Point Arena ,Mendocino                                             ,270,260,10,2.6%
Ukiah ,Mendocino                                             ,"7,300","6,940",360,4.9%
Willits ,Mendocino                                             ,"1,910","1,860",40,2.3%
Atwater ,Merced                                                ,"12,200","11,300",900,7.5%
Delhi ,Merced                                                ,"5,000","4,600",400,7.3%
Dos Palos ,Merced                                                ,"2,100","1,900",200,7.3%
Gustine ,Merced                                                ,"2,800","2,500",200,8.0%
Hilmar Irwin ,Merced                                                ,"2,800","2,800",100,1.9%
Le Grand ,Merced                                                ,800,700,100,7.4%
Livingston ,Merced                                                ,"6,900","6,600",300,4.5%
Los Banos ,Merced                                                ,"16,600","15,300","1,200",7.5%
Merced ,Merced                                                ,"34,900","32,600","2,400",6.7%
Planada ,Merced                                                ,"2,000","1,800",200,9.8%
South Dos Palos ,Merced                                                ,"1,100",900,200,16.9%
Winton ,Merced                                                ,"4,900","4,400",500,11.0%
Bret Harte ,Stanislaus                                            ,"2,000","1,800",300,12.6%
Bystrom ,Stanislaus                                            ,"1,700","1,500",100,8.0%
Ceres ,Stanislaus                                            ,"21,800","20,300","1,400",6.6%
