City,Median Home Price
Newcastle," 322,000 "
Atherton," 1,618,000 "
Montecito," 1,100,000 "
Denair," 226,000 "
Farmersville," 147,000 "
Jackson," 202,000 "
Guadalupe," 267,000 "
Elverta," 259,000 "
Acampo," 294,000 "
Rio Vista," 230,000 "
Kentfield," 862,000 "
Freedom," 404,000 "
La Habra Heights," 358,000 "
Fowler," 153,000 "
San Miguel," 281,000 "
Silverado," 471,000 "
Topanga," 793,000 "
Larkspur," 831,000 "
French Camp," 278,000 "
Oak View," 425,000 "
Strathmore," 137,000 "
Cutler," 139,000 "
Pixley," 128,000 "
Sloughhouse," 234,000 "
Ben Lomond," 477,000 "
Quincy," 170,000 "
Carmel Valley," 529,000 "
Lake Isabella," 114,000 "
San Martin," 514,000 "
Williams," 157,000 "
Villa Park," 392,000 "
Caruthers," 146,000 "
Terra Bella," 140,000 "
Montague," 128,000 "
Oakhurst," 173,000 "
Pismo Beach," 531,000 "
Kensington," 640,000 "
Foresthill," 225,000 "
Buellton," 358,000 "
Santa Ynez," 428,000 "
Forestville," 480,000 "
Linden," 253,000 "
East Pasadena," 623,000 "
Helendale," 126,000 "
Cambria," 457,000 "
Murphys," 206,000 "
South Yuba City," 174,000 "
Pioneer," 168,000 "
Burbank," 834,000 "
Arbuckle," 183,000 "
Pine Grove," 192,000 "
Weed," 143,000 "
Big Bear Lake," 272,000 "
Mount Shasta," 201,000 "
Pinon Hills," 163,000 "
Wilton," 302,000 "
San Joaquin," 130,000 "
Diamond Springs," 253,000 "
Camino," 232,000 "
San Juan Bautista," 307,000 "
Hidden Valley Lake," 183,000 "
Kennedy," 201,000 "
Rescue," 252,000 "
Cool," 226,000 "
Keyes," 208,000 "
Frazier Park," 164,000 "
San Andreas," 164,000 "
Bonsall," 286,000 "
Penngrove," 530,000 "
Morongo Valley," 165,000 "
Del Monte Forest," 777,000 "
Broadmoor Village," 798,000 "
Guerneville," 422,000 "
Wheatland," 211,000 "
Morada," 244,000 "
Brisbane," 708,000 "
Clearlake Oaks," 156,000 "
Aromas," 391,000 "
Lower Lake," 200,000 "
Meadow Vista," 262,000 "
Middletown," 195,000 "
Glen Ellen," 643,000 "
Lincoln Village," 208,000 "
Mather," 211,000 "
Esparto," 239,000 "
Portola Valley," 1,314,000 "
Angwin," 455,000 "
Highlands-Baywood Park," 1,070,000 "
Garden Valley," 242,000 "
Le Grand," 151,000 "
Descanso," 290,000 "
Palo Cedro," 202,000 "
Tipton," 136,000 "
Wrightwood," 222,000 "
Campo," 216,000 "
Shingletown," 169,000 "
Laton," 147,000 "
Del Mar," 1,258,000 "
Durham," 256,000 "
Burney," 119,000 "
El Dorado," 256,000 "
Lake Hughes," 217,000 "
Cambrian Park," 775,000 "
Emerald Lake Hills," 915,000 "
Highgrove," 275,000 "
Running Springs," 189,000 "
Avalon," 629,000 "
Janesville," 148,000 "
Plymouth," 225,000 "
Agua Dulce," 297,000 "
Ivanhoe," 136,000 "
Ferndale," 228,000 "
Aguanga," 199,000 "
North Fork," 165,000 "
Weaverville," 215,000 "
Monte Sereno," 1,018,000 "
Lockeford," 237,000 "
Lucerne," 165,000 "
Llano," 166,000 "
Sunnyslope," 257,000 "
Rio Dell," 188,000 "
Planada," 143,000 "
Moss Beach," 638,000 "
Auberry," 192,000 "
Herald," 321,000 "
Somis," 378,000 "
Ahwahnee," 174,000 "
Yountville," 664,000 "
Kings Beach," 465,000 "
Somerset," 241,000 "
Walnut Grove," 256,000 "
Georgetown," 238,000 "
Squaw Valley," 151,000 "
Springville," 154,000 "
Fort Jones," 138,000 "
Geyserville," 554,000 "
Cayucos," 646,000 "
Mission Canyon," 736,000 "
Ross," 957,000 "
Julian," 276,000 "
Home Gardens," 269,000 "
Mountain Center," 225,000 "
Mokelumne Hill," 175,000 "
Cabazon," 172,000 "
Penryn," 327,000 "
Borrego Springs," 148,000 "
Biggs," 186,000 "
Westwood," 200,000 "
Sutter," 206,000 "
Pearblossom," 181,000 "
Arnold," 197,000 "
Tollhouse," 165,000 "
Newberry Springs," 81,000 "
Tahoe City," 485,000 "
Belvedere," 1,233,000 "
Crockett," 350,000 "
Pauma Valley," 246,000 "
Rough and Ready," 239,000 "
Pilot Hill," 273,000 "
Copperopolis," 194,000 "
Kenwood," 596,000 "
Wofford Heights," 140,000 "
West Point," 166,000 "
La Grange," 155,000 "
Smartsville," 236,000 "
Browns Valley," 236,000 "
Lexington Hills," 622,000 "
Big Pine," 186,000 "
Gualala," 472,000 "
Rolling Hills," 820,000 "
Trinidad," 338,000 "
Occidental," 529,000 "
Cazadero," 501,000 "
Dunsmuir," 144,000 "
Del Rey Oaks," 470,000 "
Chester," 207,000 "
Volcano," 191,000 "
Etna," 139,000 "
Three Rivers," 203,000 "
Point Reyes Station," 663,000 "
Berry Creek," 173,000 "
Angelus Oaks," 239,000 "
Trinity Center," 154,000 "
Idyllwild," 272,000 "
Tahoe Vista," 382,000 "
Prather," 187,000 "
Friant," 188,000 "
Greenville," 132,000 "
Woodbridge," 239,000 "
Lytle Creek," 264,000 "
Bradley," 252,000 "
Lone Pine," 168,000 "
Hidden Hills," 726,000 "
Kernville," 161,000 "
Santa Ysabel," 272,000 "
Lagunitas," 571,000 "
Palos Verdes Peninsula," 640,000 "
Monte Rio," 448,000 "
Pine Mountain Club," 174,000 "
Forest Ranch," 202,000 "
La Honda," 698,000 "
Tahoma," 428,000 "
Avila Beach," 510,000 "
Bodega Bay," 536,000 "
Bell Canyon," 412,000 "
Bridgeport," 194,000 "
Green Valley Lake," 202,000 "
The Sea Ranch," 537,000 "
Shaver Lake," 255,000 "
Applegate," 262,000 "
Whitethorn," 199,000 "
Bass Lake," 321,000 "
McArthur," 133,000 "
Lewiston," 173,000 "
Inverness," 711,000 "
Carnelian Bay," 453,000 "
Ione," 204,000 "
Alta," 230,000 "
Sugarloaf," 209,000 "
Montara," 642,000 "
Annapolis," 522,000 "
Armona," 142,000 "
Stinson Beach," 1,688,000 "
Sutter Creek," 217,000 "
Forest Falls," 219,000 "
Homewood," 481,000 "
Green Valley," 251,000 "
Los Alamos," 329,000 "
Willow Creek," 220,000 "
Graeagle," 182,000 "
June Lake," 314,000 "
Fawnskin," 259,000 "
McCloud," 158,000 "
